Book Name,Author,ISBN 13,ISBN,Number of Pages,Average Rating,Total Number of Ratings,Publication Date,Date Started,Date Completed
The Lightning Tree,"Rothfuss, Patrick",,,93,4.0,2156,2014,"Apr 16, 2022","Apr 16, 2022"
"What If? Serious Scientific Answers to Absurd Hypothetical Questions (What If?, #1)","Munroe, Randall",9780544272996,0544272994,303,4.14,151303,"Sep 02, 2014",not set,not set
"Leviathan Falls (The Expanse, #9)","Corey, James S.A.",9780356510392,0356510395,528,4.54,31066,"Nov 30, 2021",not set,not set
"Tiamat's Wrath (The Expanse, #8)","Corey, James S.A.",9780316332873,0316332879,534,4.57,47842,"Mar 26, 2019",not set,not set
"Persepolis Rising (The Expanse, #7)","Corey, James S.A.",9780316332828,0316332828,608,4.37,53386,"Dec 05, 2017","Jun 02, 2022",not set
"Babylon's Ashes (The Expanse, #6)","Corey, James S.A.",9780356504261,0356504263,538,4.24,63581,"Dec 06, 2016","May 08, 2022","May 30, 2022"
"Cibola Burn (The Expanse, #4)","Corey, James S.A.",,,581,4.2,85997,"Jun 17, 2014","Feb 24, 2022","Apr 17, 2022"
"Nemesis Games (The Expanse, #5)","Corey, James S.A.",,,536,4.42,77072,"Jun 02, 2015","Apr 18, 2022","May 08, 2022"
"Abaddon's Gate (The Expanse, #3)","Corey, James S.A.",,,539,4.26,106125,"Jun 04, 2013","Jan 28, 2022","Feb 24, 2022"
"Drive (The Expanse, #2.6)","Corey, James S.A.",,,30,4.02,8764,"Nov 27, 2012",not set,not set
"Caliban's War (The Expanse, #2)","Corey, James S.A.",9781841499901,1841499900,624,4.36,125866,"Jun 07, 2012","Jan 23, 2022","Jan 28, 2022"
"Gods of Risk (The Expanse, #2.5)","Corey, James S.A.",,,68,3.72,18037,"Jan 01, 2012",not set,not set
"Book of Night (Book of Night, #1)","Black, Holly",9781250812193,1250812194,320,3.58,14603,"May 03, 2022",not set,not set
Deep Learning with Python,"Chollet, Francois",9781617294433,1617294438,350,4.6,1004,"Nov 30, 2017","Dec 17, 2021",not set
Python 3 Object-oriented Programming: Building robust and maintainable software with object oriented design patterns in Python,"Phillips, Dusty",,,462,4.02,216,"Jul 26, 2010","Nov 29, 2021",not set
"Hands-On Machine Learning with Scikit-Learn and TensorFlow: Concepts, Tools, and Techniques to Build Intelligent Systems","Géron, Aurélien",,,566,4.57,2007,"Apr 09, 2017","Nov 27, 2021","Dec 17, 2021"
"Evershore (Skyward, #3.1)","Sanderson, Brandon",9780593566633,,234,4.45,7196,"Dec 28, 2021","Dec 30, 2021","Jan 06, 2022"
An Introduction to Statistical Learning: With Applications in R,"James, Gareth",9781461471370,1461471370,426,4.6,1909,"Jun 24, 2013","Nov 21, 2021","Jun 08, 2022"
Automate the Boring Stuff with Python: Practical Programming for Total Beginners,"Sweigart, Al",9781593275990,1593275994,479,4.3,2366,"Nov 25, 2014","Nov 21, 2021","Nov 29, 2021"
Ready Player One,"Cline, Ernest",9780307887436,030788743X,374,4.24,1024174,"Aug 16, 2011",not set,not set
"Leviathan Wakes (The Expanse, #1)","Corey, James S.A.",9781841499888,1841499889,561,4.28,219727,"Jun 02, 2011","Jan 07, 2022","Jan 23, 2022"
Daughter of the Deep,"Riordan, Rick",9781368077927,1368077927,352,4.26,12254,"Oct 26, 2021","Dec 16, 2021","Dec 22, 2021"
"Children of Dune (Dune, #3)","Herbert, Frank",9780593098240,0593098242,609,3.95,142548,"Apr 21, 1976",not set,not set
"Dune Messiah (Dune, #2)","Herbert, Frank",9780593098233,0593098234,337,3.89,203292,Jul 1969,"Nov 09, 2021","Dec 16, 2021"
"""What Do You Care What Other People Think?"": Further Adventures of a Curious Character","Feynman, Richard",9780393355642,0393355640,288,4.17,27544,1988,"Aug 16, 2021","Sep 09, 2021"
Wuthering Heights,"Brontë, Emily",,,464,3.88,1571351,Dec 1847,not set,not set
The Song of Achilles,"Miller, Madeline",,,378,4.4,836628,"Sep 20, 2011",not set,not set
कायाकल्प,"Premchand, Munshi",,,,3.93,137,2007,not set,not set
The Book Thief,"Zusak, Markus",,,552,4.38,2193345,"Sep 01, 2007","Jul 30, 2021","Aug 13, 2021"
"Finale (Caraval, #3)","Garber, Stephanie",9781250157669,1250157668,478,4.2,86874,"May 07, 2019",not set,not set
"Legendary (Caraval, #2)","Garber, Stephanie",9781250095312,125009531X,451,4.23,113143,"May 29, 2018",not set,not set
"Caraval (Caraval, #1)","Garber, Stephanie",9781250095251,1250095255,407,4.0,271351,"Sep 29, 2016",not set,not set
Learn to Earn: A Beginner's Guide to the Basics of Investing and Business,"Lynch, Peter",9780684811635,0684811634,272,4.04,3948,1995,"Jul 06, 2021","Jul 11, 2021"
"Rich Dad, Poor Dad","Kiyosaki, Robert T.",9780751532715,0751532711,195,4.11,498994,1997,"Jul 06, 2021","Aug 19, 2021"
"Darkdawn (The Nevernight Chronicle, #3)","Kristoff, Jay",,,491,4.31,32596,"Sep 03, 2019",not set,not set
"Nevernight (The Nevernight Chronicle, #1)","Kristoff, Jay",9781250073020,1250073022,429,4.22,76193,"Aug 09, 2016",not set,not set
"Godsgrave (The Nevernight Chronicle, #2)","Kristoff, Jay",9781250073037,1250073030,419,4.48,45473,"Sep 05, 2017",not set,not set
Pebble in the Sky (Galactic Empire #3),"Asimov, Isaac",9780553293425,0553293427,308,3.89,22075,1950,not set,not set
The End of Eternity,"Asimov, Isaac",9780449016190,0449016196,192,4.24,50599,1955,not set,not set
The Gods Themselves,"Asimov, Isaac",9781857989342,1857989341,288,4.09,58084,1972,not set,not set
